problem;x;y;hv;ref
bnh;[[3.443146897460121, 2.059209036350887], [3.6465438742929868, 1.253040868260274], [4.614182134635459, 2.331499242632436], [1.1355452344208714, 2.951234974408337], [2.6513899141637127, 0.11154484672487196], [1.990317730516996, 1.0422893116221037], [2.332720767282679, 0.46386846501550083], [3.1963188683142785, 2.7019381652702577], [3.817566214375856, 1.6992373110750978], [2.8123041730205407, 1.5721166310696897], [0.3876900127405761, 1.356664074296746], [1.7048573843726422, 0.7587403680461497], [0.018803416267388545, 2.4268432537429563], [1.3159155675709688, 1.1050942819238805], [4.8827909668816245, 0.6853643677279826], [4.440820788219774, 2.5860154720279174], [0.7960663032310572, 0.24278214202095721], [0.5458517408988716, 0.37484250776252065], [4.091826517286703, 1.8973781300105728], [2.163260468437842, 2.1732957624159823], [3.000859186790403, 1.2088916854310408], [0.0, 3.0], [5.0, 2.9514488285837466], [4.6141821270127705, 2.951235149237437], [3.2492738232833496, 2.973333190832161], [4.440820819766766, 2.951448827708147], [0.3848948016930588, 1.820723983224562], [3.0088365450840633, 0.0], [4.764349505504581, 0.9664494377856274], [0.8502890494696934, 0.5100829547704772], [2.2204483402392445, 2.976976639715484], [0.2132567584990138, 0.010725347905364068], [4.150972921939108, 2.9769764738166957], [0.7367395645041047, 1.8901746886962414], [3.9640904148519214, 2.9769764733771025], [1.7048539113095145, 1.3533642145099538], [3.949385744341643, 2.996387005569171], [1.3830811845663722, 1.7271317109120983], [3.278556332447408, 0.15337171846776165], [3.71867910743354, 2.996387001839706], [4.0212815420190875, 1.4454817901720842], [3.4508985485829964, 0.3030666399635693], [3.8545078370112207, 2.78301353075638], [2.038937310082806, 1.2610418070957272], [0.16624657256109862, 0.26292679897115384]];[[64.38240965151361, 11.072043074768327], [59.469574578696665, 15.87154621914156], [106.90626195993863, 7.269751717305715], [39.997003414347716, 19.131448765294845], [28.169242919039743, 29.41296312087409], [20.190926710128014, 24.72166125614101], [22.627040523790907, 27.69086780796593], [70.06769662754351, 8.534353821040515], [69.84487696197493, 12.293183985984195], [41.522421853098635, 16.536397422372353], [7.963363825864938, 34.54730008609302], [13.928902588610937, 28.846248122964816], [23.559686986804095, 31.433455046597572], [11.811468611665928, 28.74276865796799], [97.24548777124787, 18.629818596715893], [105.63346117861067, 6.140002692175753], [2.770658910496983, 40.30418027510411], [1.7538441146720967, 41.2315185420541], [81.37235206325221, 10.45104154284029], [37.611641300964706, 16.037348016702932], [41.86629986419464, 18.369066243834226], [36.0, 29.0], [134.84420075099348, 4.196561901910904], [120.00186242935445, 4.346292844836537], [77.59396256951422, 7.17242050122345], [113.72775894341507, 4.509243261104637], [13.852719325837818, 31.406991982283245], [36.21238942013361, 28.96473190419277], [94.53220290559159, 16.325061293495818], [3.932704353581822, 37.37945604599375], [55.171122980331646, 11.818530945535624], [0.18237391253279117, 47.80577241408942], [104.37186049731912, 4.8134711667717465], [16.462182158774525, 27.84640300769017], [98.3056069606466, 5.16573285787141], [18.952486224093974, 24.15594029782881], [98.30393137901109, 5.118255345644638], [19.583590039758683, 23.79376855515497], [43.08981803622701, 26.453173999905058], [91.2276374754266, 5.656248276124192], [73.04049138361, 13.592489523990787], [48.00220072348416, 24.46089829540538], [90.40957991181605, 6.227181300278004], [22.989967174763862, 22.747700621905636], [0.38707369802212066, 45.80503470918302]];5068.98138003093;[140, 50]
tnk;[[2.601375273691702, 1.5051642738839202], [2.9085948882513315, 2.4798783800981505], [0.8157931064108074, 0.6234180206196757], [0.3823652469041893, 0.08818639368132165], [2.2449989594292337, 2.691646227946074], [3.085606992778642, 0.9615843657232941], [2.6705562295370417, 0.8877065829184657], [1.0918780641311976, 2.6242593715414326], [0.5777268332309992, 2.888482633964185], [1.3681605601741051, 1.7261668384801467], [0.15067876265567018, 1.2169979249834582], [2.1214706021459397, 0.17937092669563054], [1.879558815715415, 0.752415783780805], [1.1821945852058682, 3.0318111237778944], [1.6968927681697739, 2.059164573003186], [1.500309717868822, 1.8237948409588853], [2.4955186672090677, 2.2229531062984598], [0.628942401799487, 1.393340337682007], [0.2518720473510279, 0.3490892270734214], [1.988350884972097, 1.9011780514865146], [3.141592653589793, 1e-30], [0.0, 1e-30], [1.9115303183564785, 0.21306710808849083], [0.4850446986202741, 0.008527865663570205], [3.1332816407813215, 2.6867597425250995], [1.6242315780476326, 2.71835592869419], [0.8968519612972558, 0.6283010455037688], [0.013677394226207706, 0.8922844961039428], [0.33979061368806024, 1.889719958876152], [1.12451917632723, 0.594737392839962], [1.3905326830827622, 0.016921007006539982], [2.522252570749618, 1.2356912967083613], [0.9682384527283471, 0.8223870169366514], [1.2526729625974364, 1.0323417103075487], [2.618527680988578, 2.4242496441330075], [1.2834529858405108, 0.6025163179098885], [1.8717708573694765, 2.611203747523636], [2.5246795703693294, 0.9613889358207511], [1.7978549553941643, 1.7919649076993005], [1.0608135097917983, 0.007572005312068265], [1.647325278947111, 0.1691626168210545], [0.08677592890025336, 1.4259769199534414e-16], [1.4168193800162283, 0.8273500487984355], [3.101321560308408, 1.6349910377940289], [0.9185855191997722, 0.11614356650748404]];[[2.601375273691702, 1.5051642738839202], [2.9085948882513315, 2.4798783800981505], [0.8157931064108074, 0.6234180206196757], [0.3823652469041893, 0.08818639368132165], [2.2449989594292337, 2.691646227946074], [3.085606992778642, 0.9615843657232941], [2.6705562295370417, 0.8877065829184657], [1.0918780641311976, 2.6242593715414326], [0.5777268332309992, 2.888482633964185], [1.3681605601741051, 1.7261668384801467], [0.15067876265567018, 1.2169979249834582], [2.1214706021459397, 0.17937092669563054], [1.879558815715415, 0.752415783780805], [1.1821945852058682, 3.0318111237778944], [1.6968927681697739, 2.059164573003186], [1.500309717868822, 1.8237948409588853], [2.4955186672090677, 2.2229531062984598], [0.628942401799487, 1.393340337682007], [0.2518720473510279, 0.3490892270734214], [1.988350884972097, 1.9011780514865146], [3.141592653589793, 1e-30], [0.0, 1e-30], [1.9115303183564785, 0.21306710808849083], [0.4850446986202741, 0.008527865663570205], [3.1332816407813215, 2.6867597425250995], [1.6242315780476326, 2.71835592869419], [0.8968519612972558, 0.6283010455037688], [0.013677394226207706, 0.8922844961039428], [0.33979061368806024, 1.889719958876152], [1.12451917632723, 0.594737392839962], [1.3905326830827622, 0.016921007006539982], [2.522252570749618, 1.2356912967083613], [0.9682384527283471, 0.8223870169366514], [1.2526729625974364, 1.0323417103075487], [2.618527680988578, 2.4242496441330075], [1.2834529858405108, 0.6025163179098885], [1.8717708573694765, 2.611203747523636], [2.5246795703693294, 0.9613889358207511], [1.7978549553941643, 1.7919649076993005], [1.0608135097917983, 0.007572005312068265], [1.647325278947111, 0.1691626168210545], [0.08677592890025336, 1.4259769199534414e-16], [1.4168193800162283, 0.8273500487984355], [3.101321560308408, 1.6349910377940289], [0.9185855191997722, 0.11614356650748404]];4.0;[2, 2]
ctp1;[[0.3871460099961159, 0.3816371642825347], [0.04064722253061062, 0.011948058594753114], [0.858540035213686, 0.5093185179814241], [0.2253341865600572, 0.8210111022241106], [0.6894889054420744, 0.09050055031148413], [0.16530867126741236, 0.4039706666804598], [0.7758188873566173, 0.1606800716400181], [0.050164349046767726, 0.2587369925022787], [0.618496302136894, 0.906148768134552], [0.42781532816687007, 0.5837833783020047], [0.47377762497647335, 0.88030830764288], [0.7376696952508679, 0.11434776873324684], [0.9571768622608778, 0.7939355166230538], [0.5045712191305362, 0.4759826089168982], [0.11203417429364768, 0.22345197265877498], [0.9212666444552448, 0.3010507877786796], [0.25020581225891486, 0.7188787142801432], [0.33107215311208743, 0.6999607153551588], [0.8243229834948244, 0.6435765768732996], [0.565270154227453, 0.9629763081043472], [1.0, 0.0], [0.18273468342481325, 0.0], [0.0, 0.0], [0.24145536917580154, 0.07249061802487955], [0.3087913844022821, 0.08243154076751222], [0.6439676780832031, 0.060457376427728415], [0.5713545056376567, 0.20324181762156796], [0.5268423653062398, 0.20717259673169452], [0.7237255702848311, 0.40455704760749633], [0.4564639929509565, 0.24819929847291844], [0.010600457730767423, 0.3982151642149257], [0.001031167944526179, 0.0001143165472506924], [0.47185362059886016, 0.6420443075389506], [0.005580276277265189, 0.16228554666075684], [0.5231037899204726, 0.4900357330993568], [0.49429769457485095, 0.09446094780552472], [0.018731115564702718, 0.4373074921466462], [0.5749985851556113, 0.6735093378697701], [0.39685302308876114, 0.8118801972236802], [0.549159363648774, 0.34478905487869693], [0.41968765829078947, 0.3377468752920373], [0.30756656603639865, 0.4867068143755674], [0.20727476054425742, 0.13381989150859075], [0.3806667709383118, 0.16197074966646152], [0.2213226634078196, 0.17682816221876596]];[[0.3871460099961159, 1.044001561552935], [0.04064722253061062, 0.9721063594429976], [0.858540035213686, 0.8545604448347545], [0.2253341865600572, 1.6090607914339936], [0.6894889054420744, 0.5794757479646586], [0.16530867126741236, 1.2480230431951553], [0.7758188873566173, 0.5948705789711222], [0.050164349046767726, 1.20955909372413], [0.618496302136894, 1.3779688221573823], [0.42781532816687007, 1.208879808340551], [0.47377762497647335, 1.4615064267725586], [0.7376696952508679, 0.5748160935145916], [0.9571768622608778, 1.0521642562740248], [0.5045712191305362, 1.0486142138531733], [0.11203417429364768, 1.116394349011104], [0.9212666444552448, 0.640874222600027], [0.25020581225891486, 1.4860309564795404], [0.33107215311208743, 1.3991323805790221], [0.8243229834948244, 0.9953434000370005], [0.565270154227453, 1.4718144940509696], [1.0, 0.36787944117144233], [0.18273468342481325, 0.8329891322451646], [0.0, 1.0], [0.24145536917580154, 0.8562853918072717], [0.3087913844022821, 0.813779581402548], [0.6439676780832031, 0.5777844795629065], [0.5713545056376567, 0.7483933857757994], [0.5268423653062398, 0.780246189083239], [0.7237255702848311, 0.8389974336622406], [0.4564639929509565, 0.8658911655183288], [0.010600457730767423, 1.387654788393716], [0.001031167944526179, 0.999083680012967], [0.47185362059886016, 1.2319331122000672], [0.005580276277265189, 1.1567186447682738], [0.5231037899204726, 1.0488896745205134], [0.49429769457485095, 0.6967185189739623], [0.018731115564702718, 1.4186979008632914], [0.5749985851556113, 1.1868874690837259], [0.39685302308876114, 1.4554815355163893], [0.549159363648774, 0.8939335760156399], [0.41968765829078947, 0.9775161211880904], [0.30756656603639865, 1.2088696247715711], [0.20727476054425742, 0.9443875620816171], [0.3806667709383118, 0.8373719275563728], [0.2213226634078196, 0.9750716904946556]];1.2560907432645785;[1, 2]
kursawe;[[3.6092310251794952, -1.7120005908032971, -3.1508019000559617], [-1.2620156369648825, 0.4143814030568347, 0.5214847717943556], [-3.3695081969047576, -3.6474309444429966, 1.356725889402611], [0.13164761865938956, 1.2570332570284055, 2.273126124427085], [-2.832875735058543, -2.8707684303608514, -2.210924907330056], [-1.5602226677019955, 0.10265111864049015, 4.096228472446855], [-4.074987435526438, -0.8851316963480622, -0.005080538975320792], [0.8249261024419479, -4.501465342004607, 3.951772001660787], [-2.0111690410992256, -1.5628573782218842, -1.7859350808694163], [2.506458287819595, -3.078444855165113, -4.235809590533625], [0.36463846941787637, 2.087294854132037, -2.459579287780698], [-4.943233577834646, -0.1728374883697441, -0.45342727797194815], [4.7934041974694335, 4.945006245475783, 0.9070889323063627], [-0.5878891392529422, 0.6845026497794828, -1.625751964740215], [3.210104907684384, 2.8043358095454014, 3.1598839727466945], [-0.2971841097697743, -3.988129289330571, 0.26562656056396516], [-3.7743487943336183, -4.9510152691298055, -0.8802951117101312], [3.961577716129833, -1.172145471989757, 4.798598633207176], [4.381144784562519, 3.7292177106600573, -2.7571241099632253], [-4.382267286713699, -2.1508020263686407, -3.8640499833861197], [4.077445345586574, -4.052863808623882, -3.5985838170909017], [1.613864567392235, 3.2659266310006636, 3.590741720039727], [-1.8293658287995163, 2.5401873665966512, -4.8818940498446395], [-2.5061143744960086, 3.621869013287986, 2.6921460473528143], [2.1537567628877685, 4.268263369571578, -1.1131636434797363], [2.8945329137872484, -2.4707227659074382, 4.606213742659142], [1.152427300382767, -0.5635310537988634, 1.0891928528374102], [1.784047559539359, 4.544076317709285, -4.443647091132727], [-0.8640894755094788, 1.832779193544722, 1.7817743038390486], [-3.1320522955838563, 1.6373029587310128, 2.4733538516224947], [5.0, 0.8113757116120892, 0.6186099086362924], [-5.0, -2.898395547505119, -0.880295128126831], [4.377025018560648, -3.256829798818369, 0.9597520998154824], [-0.753690606775148, -1.4975471893737407, 1.3047138824651643], [1.5611603423227496, 1.6224596998480827, 0.6328425381302849], [2.967906776156424, -1.5773063534451754, -0.4534272808030464], [1.5611603332039459, 0.6828971363730671, 1.5237884522024954], [3.5645576854815824, 3.8469257558401906, 0.6727863761938844], [2.795028025274054, 2.7597266787425268, 0.9767678617138162], [1.7496185774505595, 1.809472384066391, 0.4435640845231327], [3.8577809613730065, -1.2732888673806322, 4.803947197310637], [-4.943233585897443, -0.17283332589114736, -0.6765629870829144], [2.8894697685992834, -2.4707227702628463, 2.0683839650783025], [3.9607552330725144, -1.1721454745726072, -0.8127424171152826], [3.9735953274999662, -1.170296095787958, 1.0783151566167506], [0.8248142222687663, 0.41438139619071873, 0.5128355450762945], [-0.9864030316558774, 1.897342052803783, 1.8866960710848413], [3.960755230592435, 0.5951908168676571, -2.380478036140334], [3.960755230082951, -4.568530204219183, -0.9915783073735623], [-0.8640894764246012, 0.13809250871106, 0.3536146466186857], [-0.8640894791708918, 1.5325284456170505, 1.298472897658751], [1.561159858188989, -1.1721454748756854, -3.2913125129542466], [1.5611603413144985, -0.8104641868212319, -0.39669135898525193], [1.5608202184113007, -0.3212937153088063, -0.8128415916384962], [3.96075523202628, 2.6423637879381303, 4.182469335818783]];[[-9.379362954483376, 12.820852597863606], [-16.41975493527849, -1.1704409002164853], [-8.295959020914516, 12.022959272510914], [-13.71450108846366, 4.2543877538993735], [-9.308308387309662, 19.783189517544784], [-11.721059451901763, 5.862391303560078], [-12.720630075176683, 5.76459113723529], [-7.02201512232814, 5.892944142742051], [-12.229620070262285, 5.860321037046758], [-8.029503401743396, 8.613344688663888], [-11.79136884745219, 2.4836317776303467], [-12.79365505857751, -1.0592609025064952], [-6.180976518802763, 15.513074373446162], [-15.376059603264899, 8.009433849445138], [-8.5591825472315, 12.671554120603972], [-8.99003815450121, 0.8884139769137241], [-6.5368201363228025, 1.4227636202571632], [-8.100232540310817, -2.9735367159502006], [-7.1194310342650855, 12.415739152043045], [-7.8962948330899225, 2.9220445173865186], [-6.5494405299070335, 4.393872759132462], [-8.61384742408677, 4.766800462717805], [-8.673450378784615, 5.484314174535704], [-8.199480783690927, 8.438123094813779], [-7.982291829159017, 2.0583124244704263], [-8.186906556293776, -0.6649378388978666], [-15.561986358307664, 11.736021105401292], [-6.571966531069154, 4.4596580352035815], [-12.665685875857955, -2.4697069815232564], [-10.457371211796229, 7.214953816756354], [-11.785122389150146, 5.788869932278149], [-8.604083659919, 10.328827514215572], [-8.42922974016395, 14.715694789192167], [-13.872964723975775, 6.39590235946183], [-13.433124682803918, -2.751160743750385], [-12.307755367651083, 11.652850338593442], [-14.272834297151043, 0.12161989620275238], [-8.08241085257663, 14.621057762084273], [-10.12685764445055, 14.432121179713565], [-12.934048133194025, -1.6258131736566903], [-8.138553545299537, 3.1235465032076175], [-12.41510790969672, -1.9172149337489413], [-9.924549069974066, 1.7523099229398622], [-11.895593351116347, -5.773288973378506], [-11.641251782291722, 4.511116173241438], [-17.078865936960987, 5.626090845126736], [-12.375994948460766, 4.922530246902674], [-10.61025714837203, -0.4817272677613067], [-6.910052477564002, -4.441715180399866], [-17.663341686385984, -1.2422796098481899], [-13.725336671514782, 2.3866009313067975], [-11.739580463807759, 1.530341935000874], [-15.383005910523213, -3.1777292185283406], [-15.667056050079584, -3.114353041194779], [-7.576526970944935, -0.7739851770833326]];40.71712170926693;[-10, 2]
welded_beam;[[2.103554652918132, 9.45188709985755, 8.549457790990182, 3.018657466972309], [1.628671702656454, 9.77515655152617, 6.483446142751539, 2.4853316275484754], [3.7617958303259056, 2.1245627441094608, 3.6926459335246653, 3.570145146572092], [4.662696813726823, 4.159028767938262, 5.015099070173894, 2.1960036648809242], [0.9176572470758866, 7.135118918746513, 2.6433013660008617, 3.902879953401039], [4.071725337125619, 7.620948275240698, 2.939756844466359, 4.964804956049032], [2.9149507294202808, 8.986234846793115, 6.011547053729317, 1.646239537668853], [1.309251069763627, 4.569465535360833, 4.4808157024792905, 1.987880630002672], [1.8082022625195164, 9.20163168346538, 9.263663626012756, 2.8609447004129454], [3.1611694725595414, 1.103036175361828, 2.3165172987159055, 4.080538499134109], [3.331825928415121, 2.3479807869593694, 9.931283750677151, 4.712500555588325], [3.9829033971459817, 7.027695887806466, 3.856137197439827, 1.7675453922258741], [0.6374727699768655, 8.565273124423376, 1.6755651499419402, 3.2106968804946665], [1.5397872876827376, 5.880154094698206, 0.6522226769332359, 0.5132514341314786], [0.14968790976693508, 9.57646757185839, 1.507127761627484, 1.520272712372334], [3.554100205824005, 6.129990548819302, 0.34076920274631095, 3.9640916472323657], [4.586946223150259, 0.7047635423836243, 2.3307522375030425, 2.228240822534431], [0.2840507561450126, 0.9625927284639794, 9.71219376543686, 1.03002199901783], [2.5424872660692666, 8.435608965486981, 4.210911364382695, 4.550281027028517], [1.1976213406022307, 5.361591536608804, 1.1486228549250337, 0.32566410794535106], [1.9741133834302076, 4.460018087159108, 7.127490115358102, 2.3226305095347954], [2.6443334847644397, 6.561827784735058, 3.237376024980137, 2.655550097802126], [3.513201075505048, 5.104958021365739, 5.284860639721809, 0.1615605280985506], [0.4016229863063062, 5.722171866906026, 5.308366688616158, 1.2400553513072947], [4.482202798265298, 2.582766639184535, 7.6979764881205615, 3.3939950186300107], [4.358314440899924, 3.689174193798566, 8.950114071438666, 4.330138725003391], [1.0466171148294856, 4.971493519029115, 6.623194021973538, 2.6918193662605154], [2.2934332499341794, 1.7272084989364767, 7.3436960340935835, 1.8441465559488217], [0.775349381196699, 6.527575769553752, 3.5014505338656194, 0.8003301550709663], [0.5986825497381607, 3.5340853476733405, 8.51366625588278, 3.1256438284523207], [4.8001777269973545, 7.365148578492377, 6.8055543889589645, 3.76240550846951], [2.7011580221471756, 0.11878616543328693, 9.153305900827586, 3.4307414906104934], [4.21888970479506, 1.8359418485332226, 0.8887237574970948, 1.1493749218901614], [2.388346076321816, 7.807210003398632, 8.068256509088535, 4.4091065829646725], [2.983757254558655, 0.4496054060666711, 5.731917333463517, 1.3716863841707112], [1.8666599259445127, 3.3035486830046032, 1.959876851584291, 0.9046040048714818], [3.8980776076289647, 2.91585163830353, 6.1029550914773685, 0.700081379737395], [3.1785441481537555, 4.03129667655047, 0.35681591053491346, 0.4067922589821091], [1.373889950157036, 8.065671699009682, 7.992877654953753, 4.847375981969952], [4.951063144496266, 1.5815459837873422, 4.791400368377556, 4.2047112997047], [3.2343984970598934, 4.2333307809853835, 0.504560441365829, 0.4335620970389226], [0.6374727686244586, 0.7047628505458697, 0.1, 5.0], [0.23513839254891727, 0.24765534596993227, 0.2203869319218545, 4.894748992381993], [0.6439482960684739, 2.3204871291365037, 0.160209467051557, 4.9233303197555545], [0.8312764616278739, 0.4935227755273302, 0.7705073491658976, 4.341092439312982], [0.6293905255283948, 0.7572004768512167, 3.171141731250302, 2.7738374435408812], [0.14001559991064455, 0.17456608215502048, 0.13033680041665374, 0.13512971073750876], [0.28405074930142277, 4.569465535120834, 0.1576525111236181, 0.829527939454319], [0.2840503620921451, 0.9625927282825347, 3.2670564078179067, 0.4470254703140683], [0.1400155992106467, 0.17456616832010863, 0.13033677485555345, 0.13512968189098387], [0.16371078829203514, 0.19874324534641627, 0.1589327878906198, 0.19357230874093362], [0.6439482949416401, 1.5815459324413457, 0.1, 1.8033750586342123], [1.878473247194571, 0.7047628472367923, 0.6059594735290048, 0.125], [0.3636702030383309, 0.3893797687395468, 0.39074788045526276, 0.8612415746602669], [0.3459039250253373, 0.2393719197463156, 0.3597804437930247, 0.44702546070968596], [1.628671655036317, 3.1072084275536915, 0.35978056445248013, 2.4853316253803386], [0.28509734207954357, 2.369867631107391, 2.1631112528458853, 0.4506389846782096], [0.125, 0.7572003610872304, 0.3907478772720542, 0.3760891090608333], [0.2980358656831254, 0.4496053975893443, 0.31426305322683673, 0.12500009583790328], [0.5792161706077991, 2.0025874256062055, 0.39074787978874925, 1.8122671794984708], [0.2361598602977244, 5.954405201013822, 0.6299395146584612, 2.078200372631103], [1.6286715455192253, 0.7047635752979562, 1.267872472645248, 1.401619382148192], [0.643948292904182, 5.6162685893230355, 1.6055842765861725, 0.4317611325990849], [0.16408360706852582, 0.12682089680876996, 0.31426279352148034, 0.1935723030695906], [0.2369653543246666, 0.9272093462010071, 1.2103431641013846, 0.9889870335690353]];[[75.32171996993401, 0.001163709395956059], [47.075363142585346, 0.0032409477150929186], [43.439980733149184, 0.012211674452567954], [109.50973708080699, 0.007925058623544255], [17.127505124654036, 0.030454316689619412], [154.7589399902364, 0.017403543043528147], [95.29482130523252, 0.006137935406882191], [16.610458517989706, 0.012274746938654112], [62.81914382074352, 0.0009651977477364605], [19.045165588237158, 0.043276284910688224], [65.60355174867402, 0.00047556130287704473], [130.05273047888608, 0.021659383279448583], [9.68546459803784, 0.14534189932662347], [15.721508400646176, 15.415451127435064], [2.8359195920947333, 0.4217959297267838], [86.8478682531873, 13.994242420925257], [20.05505289914968, 0.07780788997775329], [7.287018633424828, 0.002326352805098995], [80.92139243276327, 0.006461116535630465], [8.84378241910692, 4.448072290134667], [33.90349623879908, 0.0026102619725746185], [59.19246785099894, 0.024363526846677974], [70.39075172370514, 0.092053056068362], [7.2654963385633735, 0.011834509908281684], [78.16531135464945, 0.001417859353558109], [110.39483906866101, 0.0007071093376298684], [22.288391284106368, 0.0028068922920349896], [20.283115677226778, 0.0030056235482967815], [7.102576193710446, 0.06389412505472508], [23.847166013576576, 0.0011381113168561056], [213.7945227033597, 0.0018510492117059828], [22.287830397117943, 0.0008343574908884947], [36.877926071739935, 2.7208964067555437], [86.51907751820798, 0.0009479477621688351], [9.887582073851398, 0.008498054488094165], [14.192163195439248, 0.32235116019181426], [52.422820253748995, 0.013794470813074958], [45.11939103638288, 118.78696319384828], [57.94905917806382, 0.0008868657665256611], [57.93027613197386, 0.004746249083043455], [49.11539865317879, 39.416965947550416], [0.670107107671621, 439.03999999999985], [0.7545531807516144, 41.89731108500322], [1.6823113944245294, 108.43028321557914], [2.7090479656501945, 1.1054642541672877], [6.576410663148672, 0.0248168199105925], [0.01579115614852056, 7337.060167042476], [0.5241250169069809, 675.367873452246], [1.1371096376291074, 0.14082245995563417], [0.01579115313043318, 7337.06605004792], [0.02689991588219174, 2824.8172682582767], [0.8596755660846132, 1217.27312878694], [2.8008552822558053, 78.92840784406299], [0.28985964357516947, 42.72275148170833], [0.14181799185411925, 105.44577305205043], [9.841051616494052, 18.9660395305967], [0.9804876636076763, 0.48129213476137345], [0.11740431239703225, 97.83482098443488], [0.07142642828365103, 565.8271356481722], [1.2873859573133783, 20.30308243975053], [1.6236420481604985, 4.225616903703479], [3.3223686591779495, 0.7684529483836762], [3.2269802321986303, 1.228375738903986], [0.045116313027740634, 365.38606201029125], [0.9171499841170603, 1.2518662505751121]];34.11871739019146;[350.0, 0.1]
